Title:,"Time Series, Area-Averaged of Multi-satellite precipitation estimate with gauge calibration - Final Run (recommended for general (half-hourly)"
User Start Date:,2025-06-01T00:00:00Z
User End Date:,2025-09-30T23:59:59Z
User Bounding Box:,"75.5,30.3,79,33.3"
Data Bounding Box:,"75.55,30.35,78.95,33.25"
URL to Reproduce Results:,"https://giovanni.gsfc.nasa.gov/giovanni/#service=ArAvTs&starttime=2025-06-01T00:00:00Z&endtime=2025-09-30T23:59:59Z&bbox=75.5,30.3,79,33.3&data=GPM_3IMERGHH_07_precipitation&portal=GIOVANNI&format=json"
Fill Value (mean_GPM_3IMERGHH_07_precipitation):, -9999.9

time, mean_GPM_3IMERGHH_07_precipitation
2025-06-01 00:00:00,0.0195675269
2025-06-01 00:30:00,0.0284892153
2025-06-01 01:00:00,0.0382202193
2025-06-01 01:30:00,0.0381572321
2025-06-01 02:00:00,0.0303709619
2025-06-01 02:30:00,0.028525047
2025-06-01 03:00:00,0.0262230989
2025-06-01 03:30:00,0.0223277267
2025-06-01 04:00:00,0.0293117147
2025-06-01 04:30:00,0.0353388824
2025-06-01 05:00:00,0.0382041112
2025-06-01 05:30:00,0.0387395918
2025-06-01 06:00:00,0.0390263498
2025-06-01 06:30:00,0.0387152992
2025-06-01 07:00:00,0.051877398
2025-06-01 07:30:00,0.054125648
2025-06-01 08:00:00,0.06452097
2025-06-01 08:30:00,0.0475457795
2025-06-01 09:00:00,0.0709792301
2025-06-01 09:30:00,0.0751067176
2025-06-01 10:00:00,0.0854685158
2025-06-01 10:30:00,0.066662319
2025-06-01 11:00:00,0.0632433072
2025-06-01 11:30:00,0.0838185698
2025-06-01 12:00:00,0.0778317079
2025-06-01 12:30:00,0.0780208409
2025-06-01 13:00:00,0.0724890605
2025-06-01 13:30:00,0.0616968349
2025-06-01 14:00:00,0.0412398912
2025-06-01 14:30:00,0.0438872389
2025-06-01 15:00:00,0.0518053286
2025-06-01 15:30:00,0.0434043966
2025-06-01 16:00:00,0.0418491587
2025-06-01 16:30:00,0.0278336499
2025-06-01 17:00:00,0.0199894831
2025-06-01 17:30:00,0.0175936352
2025-06-01 18:00:00,0.00546166627
2025-06-01 18:30:00,0.00314680999
2025-06-01 19:00:00,0.00293187937
2025-06-01 19:30:00,0.00557411183
2025-06-01 20:00:00,0.00721211173
2025-06-01 20:30:00,0.00882058125
2025-06-01 21:00:00,0.0187699106
2025-06-01 21:30:00,0.0557852015
2025-06-01 22:00:00,0.0860702544
2025-06-01 22:30:00,0.0628704727
2025-06-01 23:00:00,0.100786433
