Title:,"Time Series, Area-Averaged of Multi-satellite precipitation estimate with gauge calibration - Final Run (recommended for general (half-hourly)"
User Start Date:,2023-06-01T00:00:00Z
User End Date:,2023-09-30T23:59:59Z
User Bounding Box:,"75.5,30.3,79,33.3"
Data Bounding Box:,"75.55,30.35,78.95,33.25"
URL to Reproduce Results:,"https://giovanni.gsfc.nasa.gov/giovanni/#service=ArAvTs&starttime=2023-06-01T00:00:00Z&endtime=2023-09-30T23:59:59Z&bbox=75.5,30.3,79,33.3&data=GPM_3IMERGHH_07_precipitation&dataKeyword=GPM_3IMERGHH%20v07&portal=GIOVANNI&format=json"
Fill Value (mean_GPM_3IMERGHH_07_precipitation):, -9999.9

time, mean_GPM_3IMERGHH_07_precipitation
2023-06-01 00:00:00,0.0410944372
2023-06-01 00:30:00,0.0384799242
2023-06-01 01:00:00,0.035364382
2023-06-01 01:30:00,0.032308951
2023-06-01 02:00:00,0.0245297272
2023-06-01 02:30:00,0.0422570631
2023-06-01 03:00:00,0.0237865895
2023-06-01 03:30:00,0.0473922417
2023-06-01 04:00:00,0.0325245149
2023-06-01 04:30:00,0.0426887907
2023-06-01 05:00:00,0.0526447743
2023-06-01 05:30:00,0.12777102
2023-06-01 06:00:00,0.285204202
2023-06-01 06:30:00,0.119448297
2023-06-01 07:00:00,0.249723092
2023-06-01 07:30:00,0.107853748
2023-06-01 08:00:00,0.120837286
2023-06-01 08:30:00,0.134701625
2023-06-01 09:00:00,0.172894418
2023-06-01 09:30:00,0.120985299
2023-06-01 10:00:00,0.119441412
2023-06-01 10:30:00,0.148803249
2023-06-01 11:00:00,0.192323506
2023-06-01 11:30:00,0.200806901
2023-06-01 12:00:00,0.188405946
2023-06-01 12:30:00,0.192469388
2023-06-01 13:00:00,0.176981166
2023-06-01 13:30:00,0.145723984
2023-06-01 14:00:00,0.0980032533
2023-06-01 14:30:00,0.0694745407
2023-06-01 15:00:00,0.0683646426
2023-06-01 15:30:00,0.100232109
2023-06-01 16:00:00,0.136814579
2023-06-01 16:30:00,0.171884313
2023-06-01 17:00:00,0.148863792
2023-06-01 17:30:00,0.313285708
2023-06-01 18:00:00,0.281152904
2023-06-01 18:30:00,0.359116971
2023-06-01 19:00:00,0.305735618
2023-06-01 19:30:00,0.326581925
2023-06-01 20:00:00,0.348730087
2023-06-01 20:30:00,0.369001448
2023-06-01 21:00:00,0.372397363
2023-06-01 21:30:00,0.349107921
2023-06-01 22:00:00,0.331426471
2023-06-01 22:30:00,0.320870072
2023-06-01 23:00:00,0.290953338
2023-06-01 23:30:00,0.3816818
2023-06-02 00:00:00,0.221426427
2023-06-02 00:30:00,0.194468081
2023-06-02 01:00:00,0.17677404
2023-06-02 01:30:00,0.155851588
2023-06-02 02:00:00,0.281581819
2023-06-02 02:30:00,0.1540737
2023-06-02 03:00:00,0.0933380947
2023-06-02 03:30:00,0.0674803257
2023-06-02 04:00:00,0.0405470692
2023-06-02 04:30:00,0.0353756659
2023-06-02 05:00:00,0.0321945436
2023-06-02 05:30:00,0.0484970249
2023-06-02 06:00:00,0.0353435688
2023-06-02 06:30:00,0.0294415969
2023-06-02 07:00:00,0.0328259803
2023-06-02 07:30:00,0.0248899944
2023-06-02 08:00:00,0.0235582776
2023-06-02 08:30:00,0.0359428786
2023-06-02 09:00:00,0.0633151308
2023-06-02 09:30:00,0.10359142
2023-06-02 10:00:00,0.107326999
2023-06-02 10:30:00,0.108720258
2023-06-02 11:00:00,0.0927403048
2023-06-02 11:30:00,0.0783560872
2023-06-02 12:00:00,0.0647465363
2023-06-02 12:30:00,0.0584535897
2023-06-02 13:00:00,0.0532600991
2023-06-02 13:30:00,0.0462340526
2023-06-02 14:00:00,0.0413924046
2023-06-02 14:30:00,0.02950163
2023-06-02 15:00:00,0.0163557362
2023-06-02 15:30:00,0.0139017701
2023-06-02 16:00:00,0.0423460081
2023-06-02 16:30:00,0.0234313216
2023-06-02 17:00:00,0.0069017401
2023-06-02 17:30:00,0.00333914487
2023-06-02 18:00:00,0.00285486062
2023-06-02 18:30:00,0.00339354854
2023-06-02 19:00:00,0.00603192439
2023-06-02 19:30:00,0.00887456257
2023-06-02 20:00:00,0.00960972719
2023-06-02 20:30:00,0.00801992975
2023-06-02 21:00:00,0.00671486184
2023-06-02 21:30:00,0.00443077087
2023-06-02 22:00:00,0.00330908061
2023-06-02 22:30:00,0.00607480621
2023-06-02 23:00:00,0.00652851816
2023-06-02 23:30:00,0.00704576122
2023-06-03 00:00:00,0.00645234482
