Title:,"Time Series, Area-Averaged of Multi-satellite precipitation estimate with gauge calibration - Final Run (recommended for general (half-hourly)"
User Start Date:,2021-06-01T00:00:00Z
User End Date:,2021-09-30T23:59:59Z
User Bounding Box:,"75.5,30.3,79,33.3"
Data Bounding Box:,"75.55,30.35,78.95,33.25"
URL to Reproduce Results:,"https://giovanni.gsfc.nasa.gov/giovanni/#service=ArAvTs&starttime=2021-06-01T00:00:00Z&endtime=2021-09-30T23:59:59Z&bbox=75.5,30.3,79,33.3&data=GPM_3IMERGHH_07_precipitation&portal=GIOVANNI&format=json"
Fill Value (mean_GPM_3IMERGHH_07_precipitation):, -9999.9

time, mean_GPM_3IMERGHH_07_precipitation
2021-06-01 00:00:00,0.396554112
2021-06-01 00:30:00,0.267383635
2021-06-01 01:00:00,0.0946030021
2021-06-01 01:30:00,0.0680481195
2021-06-01 02:00:00,0.0487816967
2021-06-01 02:30:00,0.12870416
2021-06-01 03:00:00,0.162108734
2021-06-01 03:30:00,0.0747377872
2021-06-01 04:00:00,0.0769197643
2021-06-01 04:30:00,0.0900068209
2021-06-01 05:00:00,0.0783159807
2021-06-01 05:30:00,0.0682745948
2021-06-01 06:00:00,0.0957318842
2021-06-01 06:30:00,0.0525660887
2021-06-01 07:00:00,0.0456386134
2021-06-01 07:30:00,0.0468778498
2021-06-01 08:00:00,0.0591860637
2021-06-01 08:30:00,0.102637976
2021-06-01 09:00:00,0.129433423
2021-06-01 09:30:00,0.0446249545
2021-06-01 10:00:00,0.0287029687
2021-06-01 10:30:00,0.0240585953
2021-06-01 11:00:00,0.0335684493
2021-06-01 11:30:00,0.0827981159
2021-06-01 12:00:00,0.0877273828
2021-06-01 12:30:00,0.130460873
2021-06-01 13:00:00,0.141565934
2021-06-01 13:30:00,0.148120448
2021-06-01 14:00:00,0.105465658
2021-06-01 14:30:00,0.0894090384
2021-06-01 15:00:00,0.0704262182
2021-06-01 15:30:00,0.0522477999
2021-06-01 16:00:00,0.03407415
2021-06-01 16:30:00,0.0277552269
2021-06-01 17:00:00,0.0187728032
2021-06-01 17:30:00,0.0155756501
2021-06-01 18:00:00,0.0128844483
2021-06-01 18:30:00,0.00992457103
2021-06-01 19:00:00,0.0127220443
2021-06-01 19:30:00,0.0187759157
2021-06-01 20:00:00,0.0167636257
2021-06-01 20:30:00,0.0271813031
2021-06-01 21:00:00,0.0220743231
2021-06-01 21:30:00,0.0242540669
2021-06-01 22:00:00,0.00896846224
2021-06-01 22:30:00,0.0140683316
2021-06-01 23:00:00,0.0145441685
