time,rainfall_mm_hr,rainfall_mm,rainfall_1hr,rainfall_3hr,rainfall_6hr,rainfall_24hr
2023-06-01 23:30:00,0.3816818,0.1908409,0.33631756900000004,1.0232184825,2.018377959,4.1805623952
2023-06-02 00:00:00,0.221426427,0.1107132135,0.30155411350000005,0.9477330145,1.9885147205,4.2707283901
2023-06-02 00:30:00,0.194468081,0.0972340405,0.20794725400000003,0.8704130945,1.9061902755000002,4.3487224685
2023-06-02 01:00:00,0.17677404,0.08838702,0.18562106050000002,0.793086879,1.8417094864999999,4.4194272975
2023-06-02 01:30:00,0.155851588,0.077925794,0.16631281400000003,0.7105776370000001,1.756344318,4.4811986159999995
2023-06-02 02:00:00,0.281581819,0.1407909095,0.21871670350000005,0.7058918775,1.7227701839999998,4.6097246619
2023-06-02 02:30:00,0.1540737,0.07703685,0.21782775950000005,0.5920878275000001,1.61530631,4.66563298035
2023-06-02 03:00:00,0.0933380947,0.04666904735,0.12370589735000007,0.52804366135,1.47577667585,4.700408732950001
2023-06-02 03:30:00,0.0674803257,0.03374016285,0.08040921020000005,0.46454978370000005,1.3349628782,4.71045277495
2023-06-02 04:00:00,0.0405470692,0.0202735346,0.05401369745000005,0.3964362983,1.1895231773000001,4.714464052099999
2023-06-02 04:30:00,0.0353756659,0.01768783295,0.037961367550000055,0.33619833725000003,1.04677597425,4.7108074897
2023-06-02 05:00:00,0.0321945436,0.0160972718,0.03378510475000006,0.21150469955,0.91739657705,4.700582374350001
2023-06-02 05:30:00,0.0484970249,0.02424851245,0.04034578425000006,0.158716362,0.7508041894999999,4.6609453768
2023-06-02 06:00:00,0.0353435688,0.0176717844,0.04192029685000005,0.12971909904999998,0.6577627604,4.5360150602000004
2023-06-02 06:30:00,0.0294415969,0.01472079845,0.03239258285000006,0.11069973464999999,0.57524951835,4.4910117101500004
2023-06-02 07:00:00,0.0328259803,0.01641299015,0.031133788600000056,0.10683919019999999,0.5032754885,4.3825631543000005
2023-06-02 07:30:00,0.0248899944,0.0124449972,0.02885798735000006,0.10159635445,0.4377946917,4.3410812775
2023-06-02 08:00:00,0.0235582776,0.0117791388,0.024224136000000056,0.09727822145000001,0.308782921,4.2924417733
2023-06-02 08:30:00,0.0359428786,0.0179714393,0.029750578100000057,0.0910011483,0.2497175103,4.2430624001
2023-06-02 09:00:00,0.0633151308,0.0316575654,0.04962900470000005,0.10498692929999999,0.23470602834999998,4.1882727565
2023-06-02 09:30:00,0.10359142,0.05179571,0.08345327540000005,0.14206184084999998,0.2527615755,4.179575817000001
2023-06-02 10:00:00,0.107326999,0.0536634995,0.10545920950000005,0.1793123502,0.2861515404,4.1735186105
2023-06-02 10:30:00,0.108720258,0.054360129,0.10802362850000005,0.22122748199999998,0.32282383645,4.153477115
2023-06-02 11:00:00,0.0927403048,0.0463701524,0.10073028140000005,0.25581849560000003,0.35309671705,4.1036855143999995
2023-06-02 11:30:00,0.0783560872,0.0391780436,0.08554819600000005,0.2770250999,0.3680262482,4.042460107499999
2023-06-02 12:00:00,0.0647465363,0.03237326815,0.07155131175000004,0.27774080265,0.38272773195,3.9806304026499997
2023-06-02 12:30:00,0.0584535897,0.02922679485,0.06160006300000005,0.2551718875,0.39723372835,3.9136225035
2023-06-02 13:00:00,0.0532600991,0.02663004955,0.05585684440000005,0.22813843755,0.40745078775000004,3.85176197005
2023-06-02 13:30:00,0.0462340526,0.0231170263,0.049747075850000044,0.19689533485,0.41812281684999997,3.80201700435
2023-06-02 14:00:00,0.0413924046,0.0206962023,0.043813228600000045,0.17122138475,0.42703988035,3.77371158
2023-06-02 14:30:00,0.02950163,0.014750815,0.03544701730000005,0.14679415615,0.42381925605000004,3.75372512465
2023-06-02 15:00:00,0.0163557362,0.0081778681,0.022928683100000048,0.1225987561,0.40033955875000005,3.7277206714499997
2023-06-02 15:30:00,0.0139017701,0.00695088505,0.015128753150000049,0.1003228463,0.35549473379999996,3.684555502
2023-06-02 16:00:00,0.0423460081,0.02117300405,0.02812388910000005,0.09486580080000001,0.32300423835,3.63732121655
2023-06-02 16:30:00,0.0234313216,0.0117156608,0.03288866485000005,0.0834644353,0.28035977015,3.5630947208499997
2023-06-02 17:00:00,0.0069017401,0.00345087005,0.015166530850000049,0.06621910305,0.2374404878,3.4921136948999996
2023-06-02 17:30:00,0.00333914487,0.001669572435,0.005120442485000049,0.053137860485,0.199932016635,3.337140413335
2023-06-02 18:00:00,0.00285486062,0.00142743031,0.0030970027450000484,0.046387422695,0.168986178795,3.197991391645
2023-06-02 18:30:00,0.00339354854,0.00169677427,0.0031242045800000486,0.041133311915000005,0.141456158215,3.0201296804149997
2023-06-02 19:00:00,0.00603192439,0.003015962195,0.004712736465000049,0.022976270059999998,0.11784207086000001,2.87027783361
2023-06-02 19:30:00,0.00887456257,0.004437281285,0.007453243480000048,0.015697890545,0.099162325845,2.7114241523950002
2023-06-02 20:00:00,0.00960972719,0.004804863595,0.00924214488000005,0.01705188409,0.08327098714,2.54186397249
