time,rainfall_mm_hr,rainfall_mm,rainfall_1hr,rainfall_3hr,rainfall_6hr,rainfall_24hr
2021-06-01 23:30:00,0.0176391955,0.00881959775,0.016091682,0.050774273919999995,0.099900227985,1.710832514085
2021-06-02 00:00:00,0.016214503,0.0081072515,0.01692684925,0.047844363869999997,0.10156525533500001,1.520662709585
2021-06-02 00:30:00,0.0145639982,0.0072819991,0.015389250600000001,0.04299932952,0.10388496892,1.394252891185
2021-06-02 01:00:00,0.00908725988,0.00454362994,0.01182562904,0.04305872834,0.10206757671,1.3514950200750002
2021-06-02 01:30:00,0.00874579139,0.004372895695,0.008916525635,0.040397458235,0.097052514555,1.32184385602
2021-06-02 02:00:00,0.00718462467,0.003592312335,0.00796520803,0.03671768632,0.09226301404,1.301045320005
2021-06-02 02:30:00,0.00911090057,0.004555450285,0.00814776262,0.032453538855000005,0.08322781277499999,1.24124869029
2021-06-02 03:00:00,0.0107483184,0.0053741592,0.009929609485000001,0.029720446555000002,0.077564810425,1.1655684824900001
2021-06-02 03:30:00,0.0173608102,0.0086804051,0.0140545643,0.031118852555000003,0.074118182075,1.13687999399
2021-06-02 04:00:00,0.0248942859,0.01244714295,0.02112754805,0.039022365565,0.082081093905,1.11086725479
2021-06-02 04:30:00,0.0216366109,0.01081830545,0.0232654484,0.04546777532,0.085865233555,1.07668214979
2021-06-02 05:00:00,0.0175984707,0.00879923535,0.0196175408,0.050674698335000004,0.087392384655,1.04632339479
2021-06-02 05:30:00,0.020017134,0.010008567,0.01880780235,0.05612781505,0.088581353905,1.02219466439
2021-06-02 06:00:00,0.0269202013,0.01346010065,0.023468667649999997,0.0642137565,0.093934203055,0.98778882294
2021-06-02 06:30:00,0.0263906959,0.01319534795,0.0266554486,0.06872869935,0.099847551905,0.9747011265400001
2021-06-02 07:00:00,0.0367979668,0.0183989834,0.03159433135,0.0746805398,0.11370290536500001,0.97028080324
2021-06-02 07:30:00,0.0805490464,0.0402745232,0.0586735066,0.10413675755,0.14960453287,0.98711640154
2021-06-02 08:00:00,0.121582255,0.0607911275,0.10106565070000001,0.1561286497,0.206803348035,1.01831449719
2021-06-02 08:30:00,0.196950138,0.098475069,0.1592661965,0.2445951517,0.30072296675,1.06547057819
2021-06-02 09:00:00,0.259379804,0.129689902,0.228164971,0.36082495304999995,0.42503870955,1.13044376869
2021-06-02 09:30:00,0.320994854,0.160497427,0.290187329,0.5081270321,0.57685573145,1.2686287184399998
2021-06-02 10:00:00,0.362638146,0.181319073,0.3418165,0.6710471217,0.7457276615,1.43559630709
2021-06-02 10:30:00,0.370285809,0.1851429045,0.36646197750000004,0.8159155029999999,0.92005226055,1.6087099139399998
2021-06-02 11:00:00,0.403343469,0.2016717345,0.386814639,0.95679611,1.1129247597,1.7935974237899999
2021-06-02 11:30:00,0.368950069,0.1844750345,0.386146769,1.0427960755,1.2873912272,1.9366734003400001
2021-06-02 12:00:00,0.296965569,0.1484827845,0.332957819,1.061588958,1.42241391105,2.04129249344
2021-06-02 12:30:00,0.215613768,0.107806884,0.2562896685,1.008898415,1.5170254471,2.08386894094
2021-06-02 13:00:00,0.162081867,0.0810409335,0.18884781750000001,0.9086202754999999,1.5796673972,2.09412690744
2021-06-02 13:30:00,0.159217462,0.079608731,0.1606496645,0.803086102,1.619001605,2.09967541444
2021-06-02 14:00:00,0.113605402,0.056802701,0.13641143200000003,0.6582170685,1.6150131785000001,2.10374528644
2021-06-02 14:30:00,0.139169425,0.0695847125,0.12638741350000005,0.5433267465,1.586122822,2.1286254797399997
2021-06-02 15:00:00,0.165216208,0.082608104,0.15219281650000005,0.477452066,1.539041024,2.17602047464
2021-06-02 15:30:00,0.170669094,0.085334547,0.16794265100000003,0.45497972899999994,1.463878144,2.23523112169
2021-06-02 16:00:00,0.167998031,0.0839990155,0.16933356250000003,0.457937811,1.3665580865,2.3021930621899998
