Title:,"Time Series, Area-Averaged of Multi-satellite precipitation estimate with gauge calibration - Final Run (recommended for general (half-hourly)"
User Start Date:,2025-05-01T00:00:00Z
User End Date:,2025-06-01T23:59:59Z
User Bounding Box:,"31.38,31.28,77.12,77.22"
Data Bounding Box:,"31.45,31.35,77.05,77.15"
URL to Reproduce Results:,"https://giovanni.gsfc.nasa.gov/giovanni/#service=ArAvTs&starttime=2025-05-01T00:00:00Z&endtime=2025-06-01T23:59:59Z&bbox=31.38,31.28,77.12,77.22&data=GPM_3IMERGHH_07_precipitation&dataKeyword=GPM_3IMERGHH%20v07&portal=GIOVANNI&format=json"
Fill Value (mean_GPM_3IMERGHH_07_precipitation):, -9999.9

time, mean_GPM_3IMERGHH_07_precipitation
2025-05-03 22:30:00,0.0630754456
2025-05-03 23:00:00,0.0649162009
2025-05-03 23:30:00,0.0660089329
2025-05-04 00:00:00,0.0625508726
2025-05-04 00:30:00,0.0611351021
2025-05-04 01:00:00,0.0577591322
2025-05-04 01:30:00,0.0583662428
2025-05-04 02:00:00,0.0575226694
2025-05-04 02:30:00,0.0607165843
2025-05-04 03:00:00,0.0630955249
2025-05-04 03:30:00,0.0573627241
2025-05-04 04:00:00,0.0558554791
2025-05-04 04:30:00,0.0557438433
2025-05-04 05:00:00,0.0475938655
2025-05-04 05:30:00,0.0415001549
2025-05-04 06:00:00,0.0360668935
2025-05-04 06:30:00,0.0354179926
2025-05-04 07:00:00,0.0342063531
2025-05-04 07:30:00,0.0333851911
2025-05-04 08:00:00,0.0337573737
2025-05-04 08:30:00,0.0358456708
2025-05-04 09:00:00,0.0351161622
2025-05-04 09:30:00,0.0386651047
2025-05-04 10:00:00,0.0400228798
2025-05-04 10:30:00,0.0449116565
2025-05-04 11:00:00,0.0540812463
2025-05-04 11:30:00,0.0547128394
2025-05-04 12:00:00,0.0603094213
2025-05-04 12:30:00,0.0674447864
2025-05-04 13:00:00,0.0652674735
2025-05-04 13:30:00,0.063722901
2025-05-04 14:00:00,0.0640233979
2025-05-04 14:30:00,0.0580649003
2025-05-04 15:00:00,0.060403455
2025-05-04 15:30:00,0.057289429
2025-05-04 16:00:00,0.0554841459
2025-05-04 16:30:00,0.0620995797
2025-05-04 17:00:00,0.0621128604
2025-05-04 17:30:00,0.0631136075
2025-05-04 18:00:00,0.0630110875
2025-05-04 18:30:00,0.0658501461
2025-05-04 19:00:00,0.0571758971
2025-05-04 19:30:00,0.0631163791
2025-05-04 20:00:00,0.0606767721
2025-05-04 20:30:00,0.0546866581
2025-05-04 21:00:00,0.0539309941
2025-05-04 21:30:00,0.0545736477
2025-05-04 22:00:00,0.0550362505
2025-05-04 22:30:00,0.0507258363
2025-05-04 23:00:00,0.0491896048
2025-05-04 23:30:00,0.0475806519
2025-05-05 00:00:00,0.0470247045
2025-05-05 00:30:00,0.0484110825
2025-05-05 01:00:00,0.0479698777
2025-05-05 01:30:00,0.0471805781
2025-05-05 02:00:00,0.0484271683
2025-05-05 02:30:00,0.048725266
2025-05-05 03:00:00,0.0497876182
2025-05-05 03:30:00,0.0492553487
2025-05-05 04:00:00,0.0495249778
2025-05-05 04:30:00,0.0506583303
2025-05-05 05:00:00,0.0507583097
2025-05-05 05:30:00,0.0510975122
2025-05-05 06:00:00,0.0512848571
2025-05-05 06:30:00,0.0509422123
2025-05-05 07:00:00,0.0497208461
2025-05-05 07:30:00,0.0534880944
2025-05-05 08:00:00,0.0553881712
2025-05-05 08:30:00,0.0547816232
2025-05-05 09:00:00,0.0558319949
2025-05-05 09:30:00,0.0522854365
2025-05-05 10:00:00,0.0517387167
2025-05-05 10:30:00,0.0499647632
2025-05-05 11:00:00,0.0525982231
2025-05-05 11:30:00,0.0553929806
2025-05-05 12:00:00,0.0577734858
2025-05-05 12:30:00,0.0604416803
2025-05-05 13:00:00,0.0590739027
2025-05-05 13:30:00,0.0617559999
2025-05-05 14:00:00,0.0651561692
2025-05-05 14:30:00,0.0693457201
2025-05-05 15:00:00,0.0676423311
2025-05-05 15:30:00,0.0718392581
2025-05-05 16:00:00,0.0725485682
2025-05-05 16:30:00,0.0713995621
2025-05-05 17:00:00,0.0698229223
2025-05-05 17:30:00,0.0663711205
2025-05-05 18:00:00,0.0613868013
2025-05-05 18:30:00,0.0551675148
2025-05-05 19:00:00,0.0535548478
2025-05-05 19:30:00,0.0514524356
2025-05-05 20:00:00,0.0486033633
2025-05-05 20:30:00,0.0444284454
2025-05-05 21:00:00,0.0442894958
2025-05-05 21:30:00,0.0432420559
2025-05-05 22:00:00,0.039423231
2025-05-05 22:30:00,0.0413778871
2025-05-05 23:00:00,0.0413840935
2025-05-05 23:30:00,0.0439052582
2025-05-06 00:00:00,0.0409427285
2025-05-06 00:30:00,0.0357517861
2025-05-06 01:00:00,0.0356682129
2025-05-06 01:30:00,0.0343270749
2025-05-06 02:00:00,0.0317957699
2025-05-06 02:30:00,0.030396333
2025-05-06 03:00:00,0.0289613642
2025-05-06 03:30:00,0.0292532481
2025-05-06 04:00:00,0.0307218879
2025-05-06 04:30:00,0.0320913009
2025-05-06 05:00:00,0.0345923305
2025-05-06 05:30:00,0.0365609601
2025-05-06 06:00:00,0.0387728065
2025-05-06 06:30:00,0.0383267477
2025-05-06 07:00:00,0.0365132689
2025-05-06 07:30:00,0.0357900187
2025-05-06 08:00:00,0.0375297144
2025-05-06 08:30:00,0.0382022932
2025-05-06 09:00:00,0.0372228213
2025-05-06 09:30:00,0.0371366628
2025-05-06 10:00:00,0.0389345922
2025-05-06 10:30:00,0.041320838
2025-05-06 11:00:00,0.042117402
2025-05-06 11:30:00,0.0430051647
2025-05-06 12:00:00,0.0434942469
2025-05-06 12:30:00,0.0431054309
2025-05-06 13:00:00,0.0432388335
2025-05-06 13:30:00,0.0443520322
2025-05-06 14:00:00,0.0446608216
2025-05-06 14:30:00,0.0468055718
2025-05-06 15:00:00,0.0509680994
2025-05-06 15:30:00,0.0499909632
2025-05-06 16:00:00,0.0507576764
2025-05-06 16:30:00,0.0491307825
2025-05-06 17:00:00,0.0478197075
2025-05-06 17:30:00,0.0463201664
2025-05-06 18:00:00,0.0467604026
2025-05-06 18:30:00,0.046647016
2025-05-06 19:00:00,0.0461381972
2025-05-06 19:30:00,0.0459034778
2025-05-06 20:00:00,0.045590885
2025-05-06 20:30:00,0.0461412296
2025-05-06 21:00:00,0.047315497
2025-05-06 21:30:00,0.0484879054
2025-05-06 22:00:00,0.0476973914
2025-05-06 22:30:00,0.0466128141
2025-05-06 23:00:00,0.0449423902
2025-05-06 23:30:00,0.0454212539
2025-05-07 00:00:00,0.0428093448
2025-05-07 00:30:00,0.0408307537
2025-05-07 01:00:00,0.0403318852
2025-05-07 01:30:00,0.0396706015
2025-05-07 02:00:00,0.0369670317
2025-05-07 02:30:00,0.0357709229
2025-05-07 03:00:00,0.0360979587
2025-05-07 03:30:00,0.0351490751
2025-05-07 04:00:00,0.0364726558
2025-05-07 04:30:00,0.0361071788
2025-05-07 05:00:00,0.0344760902
2025-05-07 05:30:00,0.0321875587
2025-05-07 06:00:00,0.0332409739
2025-05-07 06:30:00,0.0324148349
2025-05-07 07:00:00,0.0330192149
2025-05-07 07:30:00,0.0344798863
2025-05-07 08:00:00,0.0343271866
2025-05-07 08:30:00,0.0343798399
2025-05-07 09:00:00,0.0348895751
2025-05-07 09:30:00,0.0342623815
2025-05-07 10:00:00,0.0333287008
2025-05-07 10:30:00,0.0363682471
2025-05-07 11:00:00,0.0403394438
2025-05-07 11:30:00,0.0454752482
2025-05-07 12:00:00,0.048928421
2025-05-07 12:30:00,0.051910609
2025-05-07 13:00:00,0.0539859645
2025-05-07 13:30:00,0.0586409494
2025-05-07 14:00:00,0.0577846132
2025-05-07 14:30:00,0.0564727262
2025-05-07 15:00:00,0.0545282364
2025-05-07 15:30:00,0.0545479208
2025-05-07 16:00:00,0.0537188463
2025-05-07 16:30:00,0.0532254688
2025-05-07 17:00:00,0.0517677777
2025-05-07 17:30:00,0.0498596169
2025-05-07 18:00:00,0.0461683832
2025-05-07 18:30:00,0.0429368652
2025-05-07 19:00:00,0.0430121273
2025-05-07 19:30:00,0.0406579599
2025-05-07 20:00:00,0.0403461978
2025-05-07 20:30:00,0.0411438495
2025-05-07 21:00:00,0.0425824933
2025-05-07 21:30:00,0.0449434258
2025-05-07 22:00:00,0.046756614
2025-05-07 22:30:00,0.0485571884
2025-05-07 23:00:00,0.0457549654
2025-05-07 23:30:00,0.0462362021
2025-05-08 00:00:00,0.0444668271
2025-05-08 00:30:00,0.0481724702
2025-05-08 01:00:00,0.0474799126
2025-05-08 01:30:00,0.0472826362
2025-05-08 02:00:00,0.0467580855
2025-05-08 02:30:00,0.0445126891
2025-05-08 03:00:00,0.0437207222
2025-05-08 03:30:00,0.0428413264
2025-05-08 04:00:00,0.0417511873
2025-05-08 04:30:00,0.0426236317
2025-05-08 05:00:00,0.0437881872
2025-05-08 05:30:00,0.046142485
2025-05-08 06:00:00,0.0479154885
2025-05-08 06:30:00,0.0461930521
2025-05-08 07:00:00,0.046449624
2025-05-08 07:30:00,0.0484663025
2025-05-08 08:00:00,0.0511950403
2025-05-08 08:30:00,0.0519010462
2025-05-08 09:00:00,0.0522534847
2025-05-08 09:30:00,0.0579422154
2025-05-08 10:00:00,0.0597356334
2025-05-08 10:30:00,0.0639486536
2025-05-08 11:00:00,0.0622836687
2025-05-08 11:30:00,0.0627678633
2025-05-08 12:00:00,0.0621088445
2025-05-08 12:30:00,0.0610763058
2025-05-08 13:00:00,0.0614961572
2025-05-08 13:30:00,0.0610920452
2025-05-08 14:00:00,0.0586879589
2025-05-08 14:30:00,0.0582439713
2025-05-08 15:00:00,0.0578424446
2025-05-08 15:30:00,0.0532187931
2025-05-08 16:00:00,0.0489369556
2025-05-08 16:30:00,0.0454154201
2025-05-08 17:00:00,0.0425711982
2025-05-08 17:30:00,0.0375811048
2025-05-08 18:00:00,0.0344803035
2025-05-08 18:30:00,0.031272687
2025-05-08 19:00:00,0.0294834804
2025-05-08 19:30:00,0.0293320287
2025-05-08 20:00:00,0.027009543
2025-05-08 20:30:00,0.0265432894
2025-05-08 21:00:00,0.0267409608
2025-05-08 21:30:00,0.0280345026
2025-05-08 22:00:00,0.0278097373
2025-05-08 22:30:00,0.0264039692
2025-05-08 23:00:00,0.0303246658
2025-05-08 23:30:00,0.0312731937
2025-05-09 00:00:00,0.0343148634
2025-05-09 00:30:00,0.0330320261
2025-05-09 01:00:00,0.0343486816
2025-05-09 01:30:00,0.0361144468
2025-05-09 02:00:00,0.035813868
2025-05-09 02:30:00,0.0358143449
2025-05-09 03:00:00,0.0355278663
2025-05-09 03:30:00,0.036595434
2025-05-09 04:00:00,0.036989592
2025-05-09 04:30:00,0.0382821485
2025-05-09 05:00:00,0.0385212004
2025-05-09 05:30:00,0.0394029729
2025-05-09 06:00:00,0.0383060649
2025-05-09 06:30:00,0.0390541255
2025-05-09 07:00:00,0.039985396
2025-05-09 07:30:00,0.0422683954
2025-05-09 08:00:00,0.0470455289
2025-05-09 08:30:00,0.0521191694
2025-05-09 09:00:00,0.0521045029
2025-05-09 09:30:00,0.0546648689
2025-05-09 10:00:00,0.0540023781
2025-05-09 10:30:00,0.0574872382
2025-05-09 11:00:00,0.0618618801
2025-05-09 11:30:00,0.0678783134
2025-05-09 12:00:00,0.0700607821
2025-05-09 12:30:00,0.0723749697
2025-05-09 13:00:00,0.0727684498
2025-05-09 13:30:00,0.0690724701
2025-05-09 14:00:00,0.0695773885
2025-05-09 14:30:00,0.0684045479
2025-05-09 15:00:00,0.0684679374
2025-05-09 15:30:00,0.0642517135
2025-05-09 16:00:00,0.0629267544
2025-05-09 16:30:00,0.0593370348
2025-05-09 17:00:00,0.0556183681
2025-05-09 17:30:00,0.0535965748
2025-05-09 18:00:00,0.0526469983
2025-05-09 18:30:00,0.050123442
2025-05-09 19:00:00,0.0483449362
2025-05-09 19:30:00,0.0442382731
2025-05-09 20:00:00,0.044289019
2025-05-09 20:30:00,0.045597773
2025-05-09 21:00:00,0.0460066423
2025-05-09 21:30:00,0.0474473238
2025-05-09 22:00:00,0.0489739962
2025-05-09 22:30:00,0.0463613719
2025-05-09 23:00:00,0.0434337854
2025-05-09 23:30:00,0.0395143665
2025-05-10 00:00:00,0.0411022231
2025-05-10 00:30:00,0.0391017236
2025-05-10 01:00:00,0.0403768197
2025-05-10 01:30:00,0.0425798409
2025-05-10 02:00:00,0.0429523401
2025-05-10 02:30:00,0.0420467779
2025-05-10 03:00:00,0.0465418622
2025-05-10 03:30:00,0.0470727645
2025-05-10 04:00:00,0.0530362315
2025-05-10 04:30:00,0.0545292981
2025-05-10 05:00:00,0.0500218049
2025-05-10 05:30:00,0.0485997312
2025-05-10 06:00:00,0.0447071977
2025-05-10 06:30:00,0.0436642431
2025-05-10 07:00:00,0.0441500992
2025-05-10 07:30:00,0.0487893187
2025-05-10 08:00:00,0.0535736717
2025-05-10 08:30:00,0.0530740619
2025-05-10 09:00:00,0.051205378
2025-05-10 09:30:00,0.0527255498
2025-05-10 10:00:00,0.054871425
2025-05-10 10:30:00,0.0619356446
2025-05-10 11:00:00,0.0630340129
2025-05-10 11:30:00,0.0642483979
2025-05-10 12:00:00,0.0664406344
2025-05-10 12:30:00,0.065926902
2025-05-10 13:00:00,0.0671657398
2025-05-10 13:30:00,0.0675747693
2025-05-10 14:00:00,0.0631994605
2025-05-10 14:30:00,0.064087607
2025-05-10 15:00:00,0.062010996
2025-05-10 15:30:00,0.0592914931
2025-05-10 16:00:00,0.059380196
2025-05-10 16:30:00,0.0541517101
2025-05-10 17:00:00,0.0524069145
2025-05-10 17:30:00,0.0508953519
2025-05-10 18:00:00,0.0495621637
2025-05-10 18:30:00,0.0483399704
2025-05-10 19:00:00,0.0496057309
2025-05-10 19:30:00,0.0472303629
2025-05-10 20:00:00,0.0473280661
2025-05-10 20:30:00,0.0446311198
2025-05-10 21:00:00,0.0434075147
2025-05-10 21:30:00,0.0438946337
2025-05-10 22:00:00,0.0417528674
2025-05-10 22:30:00,0.0415937789
2025-05-10 23:00:00,0.046212554
2025-05-10 23:30:00,0.0446543433
2025-05-11 00:00:00,0.0468742251
2025-05-11 00:30:00,0.0482951626
2025-05-11 01:00:00,0.051116325
2025-05-11 01:30:00,0.0511707552
2025-05-11 02:00:00,0.0493094586
2025-05-11 02:30:00,0.0520412363
2025-05-11 03:00:00,0.0481974371
2025-05-11 03:30:00,0.0506117046
2025-05-11 04:00:00,0.0537398867
2025-05-11 04:30:00,0.052315414
2025-05-11 05:00:00,0.0521997996
2025-05-11 05:30:00,0.0485551581
2025-05-11 06:00:00,0.043816071
2025-05-11 06:30:00,0.0431617163
2025-05-11 07:00:00,0.0408729278
2025-05-11 07:30:00,0.0435929857
2025-05-11 08:00:00,0.0451160111
2025-05-11 08:30:00,0.0508534499
2025-05-11 09:00:00,0.0562503301
2025-05-11 09:30:00,0.0636370182
2025-05-11 10:00:00,0.0660034269
2025-05-11 10:30:00,0.0729819462
2025-05-11 11:00:00,0.0815460235
2025-05-11 11:30:00,0.0817789212
2025-05-11 12:00:00,0.0784519389
2025-05-11 12:30:00,0.0794751868
2025-05-11 13:00:00,0.0806986243
2025-05-11 13:30:00,0.0768508911
2025-05-11 14:00:00,0.078316167
2025-05-11 14:30:00,0.0745085254
2025-05-11 15:00:00,0.069535099
2025-05-11 15:30:00,0.0647243485
2025-05-11 16:00:00,0.0631071255
2025-05-11 16:30:00,0.0588524267
2025-05-11 17:00:00,0.0550319292
2025-05-11 17:30:00,0.0476662889
2025-05-11 18:00:00,0.0447777882
2025-05-11 18:30:00,0.042171564
2025-05-11 19:00:00,0.0426305123
2025-05-11 19:30:00,0.0430548415
2025-05-11 20:00:00,0.0401852131
2025-05-11 20:30:00,0.0399284996
2025-05-11 21:00:00,0.03641662
2025-05-11 21:30:00,0.0375535935
2025-05-11 22:00:00,0.0391700305
2025-05-11 22:30:00,0.0400773287
2025-05-11 23:00:00,0.038555719
2025-05-11 23:30:00,0.0365452655
2025-05-12 00:00:00,0.0382271707
2025-05-12 00:30:00,0.0370514765
2025-05-12 01:00:00,0.0370733589
2025-05-12 01:30:00,0.0390659608
2025-05-12 02:00:00,0.0397975333
2025-05-12 02:30:00,0.0375157483
2025-05-12 03:00:00,0.0369614847
2025-05-12 03:30:00,0.0359166674
2025-05-12 04:00:00,0.0346630402
2025-05-12 04:30:00,0.0345200226
2025-05-12 05:00:00,0.0373644009
2025-05-12 05:30:00,0.0342754349
2025-05-12 06:00:00,0.0348941162
2025-05-12 06:30:00,0.0334335603
2025-05-12 07:00:00,0.033373408
2025-05-12 07:30:00,0.0350173377
2025-05-12 08:00:00,0.0403048843
2025-05-12 08:30:00,0.0439704321
2025-05-12 09:00:00,0.0427349992
2025-05-12 09:30:00,0.0430808291
2025-05-12 10:00:00,0.0430132486
2025-05-12 10:30:00,0.0396647491
2025-05-12 11:00:00,0.0446394421
2025-05-12 11:30:00,0.0445192233
2025-05-12 12:00:00,0.0459175743
2025-05-12 12:30:00,0.0480395108
2025-05-12 13:00:00,0.0544044785
2025-05-12 13:30:00,0.057793092
2025-05-12 14:00:00,0.0609285608
2025-05-12 14:30:00,0.0627046376
2025-05-12 15:00:00,0.0564694218
2025-05-12 15:30:00,0.0579705834
2025-05-12 16:00:00,0.0540984645
2025-05-12 16:30:00,0.0492958389
2025-05-12 17:00:00,0.0493189842
2025-05-12 17:30:00,0.0455385968
2025-05-12 18:00:00,0.0439710431
2025-05-12 18:30:00,0.0455863513
2025-05-12 19:00:00,0.0453390628
2025-05-12 19:30:00,0.0447450131
2025-05-12 20:00:00,0.0454217978
2025-05-12 20:30:00,0.0493406393
2025-05-12 21:00:00,0.0499170832
2025-05-12 21:30:00,0.0515986569
